,street,city,state,zip,lat,lng
0, 330 23rd Ave North Ste 250,Nashville,TN 37203 ,,36.154327,-86.808673
1, 330 23rd Ave N Ste 600,Nashville,TN 37203 ,,36.154327,-86.808673
2, 2000 Church St,Nashville,TN 37236 ,,36.152939,-86.801765
3, 2201 Murphy Ave Ste 104,Nashville,TN 37203 ,,36.154657,-86.806223
4, 1900 Church St Ste 100,Nashville,TN 37203 ,,36.154209,-86.799195
5, 1301 Medical Center Dr,Nashville,TN 37232 ,,36.141227,-86.801454
6, 345 23rd Ave N Ste 209,Nashville,TN 37203 ,,36.15518,-86.809332
7, 2201 Murphy Ave Ste 307,Nashville,TN 37203 ,,36.154657,-86.806223
8, 719 Thompson Lane Suite 26300,Nashville,TN 37204 ,,36.1119,-86.763179
9, 2201 Murphy Ave Ste 103,Nashville,TN 37203 ,,36.154657,-86.806223
10, 222 22nd Ave N Ste 600 Fl 6,Nashville,TN 37203 ,,36.152546,-86.804349
11, 330 23rd Ave North Ste 250,Nashville,TN 37203 ,,36.154327,-86.808673
12, 2011 Murphy Ave Ste 201,Nashville,TN 37203 ,,36.155731,-86.803954
13, 1900 Church St Ste 100,Nashville,TN 37203 ,,36.154209,-86.799195
14, 2010 Church St Ste 201,Nashville,TN 37203 ,,36.152869,-86.80191
15, 6225 Humphreys Boulevard,Memphis,TN 38120,,35.128419,-89.854378
16, 1276 Gilbreath Drive,Johnson City,TN 37614,,36.304315,-82.366204
17, 1005 Dr DB Todd Jr Boulevard,Nashville,TN 37208,,36.165056,-86.804839
18, 960 East Third St,Chattanooga,TN 37403,,35.047907,-85.290872
19, 1840 Medical Center Parkway,Murfreesboro,TN 37129,,35.858851,-86.423872
20, 1924 Alcoa Hwy,Knoxville,TN 37920,,35.93826,-83.946678
21, 920 Madison Ave,Memphis,TN 38163,,35.140255,-90.030198
22, 1211 Medical Center Dr,Nashville,TN 37232,,36.142271,-86.801319
